videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay,textStopWordsRemoved,textTokenized,textLemmatized,pos,posTag,posDependency,posShape,posAlpha,posStopWord,textEntityType
rDxrpSqYHD8,@vilmalazzarini8847,2023-11-01 17:14:44+00:00,2023-11-01 17:14:44+00:00,9,2,i hope eddy and lucky chloe appear too,hope eddy lucky chloe appear,"['hope', 'eddy', 'lucky', 'chloe', 'appear']","['hope', 'eddy', 'lucky', 'chloe', 'appear']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']","['NNP', 'NNP', 'NNP', 'NNP', 'VBP']","['ROOT', 'compound', 'compound', 'nsubj', 'ccomp']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True]","[False, False, False, False, False]","['', '', '', '', '']"
rDxrpSqYHD8,@pduction,2023-11-01 17:15:01+00:00,2023-11-01 17:15:01+00:00,0,0,love how there is no yoshimitsu gameplay,love yoshimitsu gameplay,"['love', 'yoshimitsu', 'gameplay']","['love', 'yoshimitsu', 'gameplay']","['VERB', 'NOUN', 'NOUN']","['VB', 'NN', 'NN']","['ROOT', 'compound', 'dobj']","['xxxx', 'xxxx', 'xxxx']","[True, True, True]","[False, False, False]","['', '', '']"
rDxrpSqYHD8,@boggamer99,2023-11-01 17:15:15+00:00,2023-11-01 17:15:15+00:00,4,0,who else wants god hand 2,wants god hand 2,"['wants', 'god', 'hand', '2']","['want', 'god', 'hand', '2']","['VERB', 'PROPN', 'NOUN', 'NUM']","['VBZ', 'NNP', 'NN', 'CD']","['ROOT', 'nsubj', 'ccomp', 'punct']","['xxxx', 'xxx', 'xxxx', 'd']","[True, True, True, False]","[False, False, False, False]","['', '', '', 'CARDINAL']"
rDxrpSqYHD8,@omikis2082,2023-11-01 17:15:32+00:00,2023-11-01 17:15:32+00:00,1,0,lars happy because his wife return,lars happy wife return,"['lars', 'happy', 'wife', 'return']","['lar', 'happy', 'wife', 'return']","['VERB', 'ADJ', 'NOUN', 'VERB']","['VBZ', 'JJ', 'NN', 'VB']","['nsubj', 'amod', 'appos', 'ROOT']","['xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]","['', '', '', '']"
rDxrpSqYHD8,@greycat111,2023-11-01 17:15:36+00:00,2023-11-01 17:15:36+00:00,0,0,where is my boi lei wulong jackie chan,boi lei wulong jackie chan,"['boi', 'lei', 'wulong', 'jackie', 'chan']","['boi', 'lei', 'wulong', 'jackie', 'chan']","['VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['VB', 'NNP', 'NNP', 'NNP', 'NNP']","['ROOT', 'compound', 'compound', 'compound', 'dobj']","['xxx', 'xxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True]","[False, False, False, False, False]","['', '', '', 'PERSON', 'PERSON']"
rDxrpSqYHD8,@grape_soduh,2023-11-01 17:15:53+00:00,2023-11-01 17:15:53+00:00,0,0,no lidia news yet ,lidia news,"['lidia', 'news']","['lidia', 'news']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['xxxx', 'xxxx']","[True, True]","[False, False]","['ORG', 'ORG']"
rDxrpSqYHD8,@its.Terry15,2023-11-01 17:16:11+00:00,2023-11-01 17:16:11+00:00,2,1,lei wulong will be back tomorrow or brnov 12,lei wulong tomorrow brnov 12,"['lei', 'wulong', 'tomorrow', 'brnov', '12']","['lei', 'wulong', 'tomorrow', 'brnov', '12']","['PROPN', 'NOUN', 'NOUN', 'PROPN', 'NUM']","['NNP', 'NN', 'NN', 'NNP', 'CD']","['compound', 'compound', 'compound', 'ROOT', 'nummod']","['xxx', 'xxxx', 'xxxx', 'xxxx', 'dd']","[True, True, True, True, False]","[False, False, False, False, False]","['', '', 'DATE', '', 'CARDINAL']"
rDxrpSqYHD8,@josejunior1521,2023-11-01 17:16:50+00:00,2023-11-01 17:16:50+00:00,0,1,lei ,lei,['lei'],['lei'],['VERB'],['VB'],['ROOT'],['xxx'],[True],[False],['']
rDxrpSqYHD8,@nobody5661,2023-11-01 17:16:54+00:00,2023-11-01 17:16:54+00:00,0,0,armour king next or is he going to be dlc again,armour king going dlc,"['armour', 'king', 'going', 'dlc']","['armour', 'king', 'go', 'dlc']","['NOUN', 'NOUN', 'VERB', 'ADV']","['NN', 'NN', 'VBG', 'RB']","['compound', 'nsubj', 'ROOT', 'advmod']","['xxxx', 'xxxx', 'xxxx', 'xxx']","[True, True, True, True]","[False, False, False, False]","['', '', '', '']"
rDxrpSqYHD8,@saracrysis2851,2023-11-01 17:17:36+00:00,2023-11-01 17:17:36+00:00,1,3,are we all ignoring kuma who has potentially adapted to heihachis playstyle really,ignoring kuma potentially adapted heihachis playstyle,"['ignoring', 'kuma', 'potentially', 'adapted', 'heihachis', 'playstyle']","['ignore', 'kuma', 'potentially', 'adapt', 'heihachis', 'playstyle']","['VERB', 'NOUN', 'ADV', 'VERB', 'DET', 'NOUN']","['VBG', 'NN', 'RB', 'VBD', 'DT', 'NN']","['csubj', 'dobj', 'advmod', 'ROOT', 'det', 'dobj']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True, True]","[False, False, False, False, False, False]","['', '', '', '', '', '']"
rDxrpSqYHD8,@akarapongboonrat9338,2023-11-01 17:17:54+00:00,2023-11-01 17:17:54+00:00,0,0,last 2 heihachi returns,2 heihachi returns,"['2', 'heihachi', 'returns']","['2', 'heihachi', 'return']","['NUM', 'NOUN', 'NOUN']","['CD', 'NN', 'NNS']","['nummod', 'compound', 'ROOT']","['d', 'xxxx', 'xxxx']","[False, True, True]","[False, False, False]","['CARDINAL', '', '']"
rDxrpSqYHD8,@arlynanderson4801,2023-11-01 17:17:58+00:00,2023-11-01 17:17:58+00:00,0,0,lee what happened to you,lee happened,"['lee', 'happened']","['lee', 'happen']","['PROPN', 'VERB']","['NNP', 'VBD']","['nsubj', 'ROOT']","['xxx', 'xxxx']","[True, True]","[False, False]","['PERSON', '']"
