videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay
rDxrpSqYHD8,@kingspiffy_6mg520,2023-11-03 00:46:24+00:00,2023-11-03 00:46:24+00:00,0,0,Hwoarang looks different Dude but it’s fire not to different 🔥Steve fox looks different 🔥I just love tekken ❤️‍🔥‼️🔥
rDxrpSqYHD8,@mengleong2837,2023-11-03 00:52:04+00:00,2023-11-03 00:52:04+00:00,0,0,"<a href=""https://www.youtube.com/watch?v=rDxrpSqYHD8&amp;t=44"">0:44</a>"
rDxrpSqYHD8,@Kazeshini6,2023-11-03 00:54:35+00:00,2023-11-03 00:54:35+00:00,0,0,Where tf is lei
rDxrpSqYHD8,@JhettProductions,2023-11-03 00:55:48+00:00,2023-11-03 00:55:48+00:00,0,0,"Okay, but where&#39;s Armor King"
rDxrpSqYHD8,@adipratama4335,2023-11-03 01:02:23+00:00,2023-11-03 01:02:23+00:00,0,0,Still waiting for Gon
rDxrpSqYHD8,@Aimai.37,2023-11-03 01:10:32+00:00,2023-11-03 01:10:32+00:00,1,0,"Random but imagine they have that open story mode like in Tekken 6, i kinda miss that ngl. But damn everything of this game looks amazing so far"
rDxrpSqYHD8,@tonydak8573,2023-11-03 01:17:24+00:00,2023-11-03 01:17:24+00:00,0,0,"Listen, Tekken fans. We are UP!"
rDxrpSqYHD8,@tonydak8573,2023-11-03 01:20:01+00:00,2023-11-03 01:20:31+00:00,0,0,Here me out…what if we get Sukuna as a special secret/DLC character?
rDxrpSqYHD8,@doomstothfilms,2023-11-03 01:20:27+00:00,2023-11-03 01:20:27+00:00,0,0,Alisa with high res armpits confirmed
rDxrpSqYHD8,@GrayFox4374,2023-11-03 01:23:44+00:00,2023-11-03 01:23:44+00:00,4,3,"I know they won&#39;t add any Guests Characters to the Tekken 8 now at the begining and they will come in the future. But boy, I hope they add Tifa Lockhart as Guest Character in Tekken 8 because she really fits in Tekken gameplay style also her kit gameplay is also fire 🔥"
rDxrpSqYHD8,@golden1648,2023-11-03 01:24:13+00:00,2023-11-03 01:24:13+00:00,2,0,I&#39;m so confused how are these 5 legends returning when they are all in the last damn game. Am I missing something
rDxrpSqYHD8,@deepakbatista980,2023-11-03 01:28:14+00:00,2023-11-03 01:28:14+00:00,0,0,ली lee Marduk
rDxrpSqYHD8,@AD-ll4iz,2023-11-03 01:31:00+00:00,2023-11-03 01:31:00+00:00,0,0,i bet its eddy
rDxrpSqYHD8,@Beiyuu,2023-11-03 01:48:43+00:00,2023-11-03 01:48:43+00:00,0,0,ALISAAAAAA
rDxrpSqYHD8,@inquisitor.chimkinsoopwitvegys,2023-11-03 01:49:22+00:00,2023-11-03 01:49:22+00:00,0,0,The only character i want to return is either lidia or ganryu and so far it seems like every character except for them is going to be in this game :/
rDxrpSqYHD8,@calesummers,2023-11-03 01:50:17+00:00,2023-11-03 01:50:17+00:00,0,0,Where’s anna??
